Model,MSE,MAE,R2
LSTM,3.717666320286468e-05,0.004042084045179624,0.9996135793133023
Bidirectional LSTM,0.00016015853446003562,0.008315879224903936,0.9983352844086941
CNN,5.040799893683483e-05,0.005196027276203571,0.9994760505143258
Hybrid CNN-LSTM,1.9320629592220265e-05,0.002956030543538543,0.9997991780242966
MLP,0.00010524328335712036,0.008210662117370971,0.9989060830552958
RNN,0.00010232886186877889,0.007327692196581046,0.9989363760578363
Hybrid MLP + CNN + LSTM,0.00034064904832228806,0.013151360834884999,0.9964592346963118
Hybrid CNN + Bi-LSTM,0.005581715891313051,0.052589076738459896,0.9419826767156922
